game,name,score,place,timeout
2396,g3,107,3rd,no
2396,g1,78,4th,no
2397,g8,191,1st,no
2398,g8,94,2nd,no
2398,g1,89,3rd,no
2398,g4,35,4th,no
2399,g8,160,1st,no
2400,g8,145,2nd,no
2400,g1,87,3rd,no
2400,g6,83,4th,no
2401,g3,164,1st,no
2402,g3,151,2nd,no
2402,g6,101,3rd,no
2402,g2,52,4th,no
2403,g8,176,1st,no
2404,g6,138,2nd,no
2404,g4,92,3rd,no
2404,g2,59,4th,no
2405,g3,159,1st,no
2406,g1,47,2nd,no
2406,g2,41,3rd,no
2406,g7,1,4th,no
2407,g3,251,1st,no
2407,g8,183,2nd,no
2407,g1,64,3rd,no
2407,g7,2,4th,no
2408,g3,211,1st,no
2409,g4,110,2nd,no
2409,g7,64,3rd,no
2409,g1,42,4th,no
2410,g8,164,1st,no
2413,g2,99,2nd,no
2413,g6,11,3rd,no
2413,g7,1,4th,no
2414,g3,331,1st,no
2414,g8,155,2nd,no
2414,g6,14,3rd,no
2414,g7,0,4th,no
2415,g7,221,1st,no
2415,g4,122,2nd,no
2415,g8,101,3rd,no
2415,g6,56,4th,no
2416,g3,159,1st,no
2417,g9,160,2nd,no
2417,g1,44,3rd,no
2417,g4,18,4th,no
2418,g3,240,1st,no
2418,g9,159,2nd,no
2418,g4,87,3rd,no
2418,g1,13,4th,no
2419,g9,213,1st,no
2419,g3,156,2nd,no
2419,g2,120,3rd,no
2419,g4,11,4th,no
2420,g2,181,1st,no
2421,g9,123,2nd,no
2421,g6,91,3rd,no
2421,g1,78,4th,no
2422,g2,139,1st,no
2423,g6,133,2nd,no
2423,g4,114,3rd,no
2423,g1,49,4th,no
2424,g2,173,1st,no
2424,g9,143,2nd,no
2424,g6,121,3rd,no
2424,g4,63,4th,no
2425,g9,158,1st,no
2426,g1,84,2nd,no
2426,g2,64,3rd,no
2426,g7,2,4th,no
2427,g3,255,1st,no
2427,g9,236,2nd,no
2427,g1,8,3rd,no
2427,g7,1,4th,no
2428,g3,239,1st,no
2429,g4,107,2nd,no
2429,g1,90,3rd,no
2429,g7,14,4th,no
2430,g2,251,1st,no
2430,g9,142,2nd,no
2430,g4,94,3rd,no
2430,g7,13,4th,no
2431,g9,157,1st,no
2432,g6,175,2nd,no
2432,g1,86,3rd,no
2432,g7,29,4th,no
2433,g9,181,1st,no
2434,g9,170,2nd,no
2434,g6,103,3rd,no
2434,g7,3,4th,no
2435,g4,186,1st,no
2435,g7,139,2nd,no
2435,g9,103,3rd,no
2435,g6,72,4th,no
2436,g2,144,1st,no
2437,g3,165,2nd,no
2437,g9,130,3rd,no
2437,g1,31,4th,no
2438,g2,152,1st,no
2439,g9,102,2nd,no
2439,g4,86,3rd,no
2439,g1,69,4th,no
2440,g2,161,1st,no
2440,g9,158,2nd,no
2440,g8,125,3rd,no
2440,g4,56,4th,no
2441,g9,148,1st,no
2443,g2,139,2nd,no
2443,g6,94,3rd,no
2443,g9,93,4th,no
2444,g8,153,1st,no
2447,g8,171,2nd,no
2447,g9,85,3rd,no
2447,g7,1,4th,no
2448,g3,201,1st,no
2451,g4,145,2nd,no
2451,g1,67,3rd,no
2451,g2,9,4th,no
2452,g1,160,1st,no
2453,g1,123,2nd,no
2453,g6,92,3rd,no
2453,g4,67,4th,no
2454,g1,163,1st,no
2455,g4,116,2nd,no
2455,g6,93,3rd,no
2455,g2,25,4th,no
2456,g3,146,1st,no
2456,g7,140,2nd,no
2456,g1,121,3rd,no
2456,g2,92,4th,no
2457,g2,144,1st,no
2459,g2,127,2nd,no
2459,g4,62,3rd,no
2459,g7,0,4th,no
