game,name,score,place,timeout
3054,g6,1,4th,no
3054,g9,6,2nd,no
3055,g3,5,2nd,no
3055,g4,2,4th,no
3055,g6,3,3rd,no
3055,g9,9,1st,no
3056,g1,3,4th,no
3057,g3,6,1st,no
3057,g7,4,3rd,no
3057,g9,4,3rd,no
3058,g2,5,2nd,no
3059,g4,3,3rd,no
3059,g7,6,2nd,no
3059,g9,2,4th,no
3060,g2,7,1st,no
3060,g4,1,4th,no
3060,g7,6,2nd,no
3060,g9,6,2nd,no
3061,g3,6,1st,no
3061,g4,1,4th,no
3061,g7,6,1st,no
3061,g9,6,1st,no
3062,g1,6,2nd,no
3062,g6,2,4th,no
3062,g7,8,1st,no
3062,g9,3,3rd,no
3063,g2,6,1st,no
3063,g6,3,4th,no
3063,g7,6,1st,no
3063,g9,5,3rd,no
3064,g3,6,2nd,no
3064,g6,3,3rd,no
3064,g7,3,3rd,no
3064,g9,7,1st,no
3065,g4,2,4th,no
3065,g6,4,3rd,no
3065,g7,7,1st,no
3065,g9,6,2nd,no
3066,g1,3,4th,no
3068,g3,2,4th,no
3068,g8,4,3rd,no
3068,g9,5,2nd,no
3069,g1,5,2nd,no
3069,g4,4,3rd,no
3069,g8,6,1st,no
3069,g9,4,3rd,no
3070,g2,3,3rd,no
3071,g4,4,3rd,no
3071,g8,7,1st,no
3071,g9,3,4th,no
3072,g1,4,3rd,no
