game,name,score,place,timeout
140,g6,1,4th,no
140,g7,9,1st,no
140,g8,5,2nd,no
140,g9,4,3rd,no
143,g1,21,3rd,no
143,g2,21,3rd,no
143,g4,30,1st,no
143,g6,29,2nd,no
147,g1,15,4th,no
147,g2,19,3rd,no
147,g4,36,1st,no
147,g7,30,2nd,no
150,g1,27,1st,no
150,g2,23,4th,no
150,g6,25,2nd,no
150,g7,25,2nd,no
153,g1,27,2nd,no
153,g4,28,1st,no
153,g6,23,3rd,no
153,g7,23,3rd,no
154,g2,24,3rd,no
154,g4,17,4th,no
154,g6,27,2nd,no
154,g7,32,1st,no
155,g3,31,1st,no
155,g4,31,1st,no
155,g6,20,3rd,no
155,g7,19,4th,no
157,g1,12,4th,no
157,g2,31,2nd,no
157,g4,32,1st,no
157,g8,25,3rd,no
160,g1,21,4th,no
160,g2,34,1st,no
160,g6,23,2nd,no
160,g8,23,2nd,no
163,g1,26,2nd,no
163,g4,21,3rd,no
163,g6,21,3rd,no
163,g8,33,1st,no
164,g2,28,2nd,no
164,g4,19,4th,no
164,g6,23,3rd,no
164,g8,31,1st,no
165,g3,29,2nd,no
165,g4,24,3rd,no
165,g6,17,4th,no
165,g8,30,1st,no
166,g1,20,4th,no
166,g2,28,2nd,no
166,g7,24,3rd,no
166,g8,29,1st,no
169,g1,17,4th,no
169,g4,22,3rd,no
169,g7,36,1st,no
169,g8,25,2nd,no
170,g2,22,3rd,no
170,g4,26,2nd,no
170,g7,22,3rd,no
170,g8,31,1st,no
171,g3,23,3rd,no
171,g4,15,4th,no
171,g7,31,1st,no
171,g8,31,1st,no
172,g1,24,2nd,no
172,g6,23,4th,no
172,g7,29,1st,no
172,g8,24,2nd,no
173,g2,25,2nd,no
173,g6,22,4th,no
173,g7,28,1st,no
173,g8,25,2nd,no
174,g3,33,1st,no
174,g6,20,4th,no
174,g7,25,2nd,no
174,g8,22,3rd,no
175,g4,21,3rd,no
175,g6,20,4th,no
175,g7,29,2nd,no
175,g8,31,1st,no
177,g1,24,3rd,no
177,g2,29,1st,no
177,g4,21,4th,no
177,g9,26,2nd,no
180,g1,15,4th,no
180,g2,34,1st,no
180,g6,23,3rd,no
180,g9,28,2nd,no
183,g1,33,1st,no
183,g4,6,4th,no
183,g6,30,3rd,no
183,g9,31,2nd,no
184,g2,20,4th,no
184,g4,24,2nd,no
184,g6,22,3rd,no
184,g9,34,1st,no
185,g3,25,2nd,no
185,g4,21,3rd,no
185,g6,18,4th,no
185,g9,36,1st,no
186,g1,24,3rd,no
186,g2,27,2nd,no
186,g7,15,4th,no
186,g9,34,1st,no
189,g1,14,4th,no
189,g4,28,2nd,no
189,g7,21,3rd,no
189,g9,37,1st,no
190,g2,24,2nd,no
190,g4,33,1st,no
190,g7,20,4th,no
190,g9,24,2nd,no
191,g3,30,2nd,no
191,g4,21,3rd,no
191,g7,34,1st,no
191,g9,15,4th,no
192,g1,14,4th,no
192,g6,28,2nd,no
192,g7,22,3rd,no
192,g9,36,1st,no
193,g2,32,1st,no
193,g6,16,4th,no
193,g7,23,3rd,no
193,g9,29,2nd,no
194,g3,33,1st,no
194,g6,23,3rd,no
194,g7,14,4th,no
