648,g3,27,2nd,no
649,g3,41,1st,no
651,g3,24,3rd,no
652,g3,28,2nd,no
655,g3,40,1st,no
657,g3,20,4th,no
658,g3,30,2nd,no
661,g3,44,1st,no
664,g3,18,4th,no
666,g3,13,4th,no
668,g3,31,2nd,no
669,g3,20,3rd,no
671,g3,26,1st,no
672,g3,34,1st,no
675,g3,36,2nd,no
677,g3,49,1st,no
678,g3,30,2nd,no
681,g3,25,2nd,no
684,g3,20,3rd,no
687,g3,21,4th,no
688,g3,22,4th,no
691,g3,27,2nd,no
694,g3,23,3rd,no
698,g3,26,3rd,no
701,g3,148,2nd,no
702,g3,215,1st,no
704,g3,204,1st,no
705,g3,229,1st,no
706,g3,205,1st,no
708,g3,230,1st,no
709,g3,279,1st,no
711,g3,296,1st,no
712,g3,319,1st,no
715,g3,214,1st,no
716,g3,127,3rd,no
718,g3,203,1st,no
719,g3,251,1st,no
721,g3,123,2nd,no
722,g3,157,1st,no
725,g3,157,1st,no
727,g3,338,1st,no
728,g3,128,2nd,no
731,g3,196,1st,no
734,g3,271,1st,no
736,g3,113,3rd,no
738,g3,198,1st,no
739,g3,167,2nd,no
741,g3,188,1st,no
742,g3,200,1st,no
745,g3,181,1st,no
747,g3,188,1st,no
748,g3,289,1st,no
751,g3,194,1st,no
754,g3,242,1st,no
757,g3,216,1st,no
758,g3,102,4th,no
761,g3,192,1st,no
764,g3,132,2nd,no
768,g3,245,1st,no
771,g3,91,4th,no
772,g3,141,2nd,no
774,g3,205,1st,no
775,g3,220,1st,no
776,g3,176,1st,no
778,g3,164,2nd,no
779,g3,131,3rd,no
781,g3,136,2nd,no
782,g3,122,3rd,no
785,g3,133,2nd,no
786,g3,133,2nd,no
788,g3,145,2nd,no
789,g3,204,1st,no
791,g3,100,3rd,no
792,g3,125,3rd,no
795,g3,195,1st,no
797,g3,135,2nd,no
798,g3,178,1st,no
801,g3,108,4th,no
804,g3,169,1st,no
806,g3,135,2nd,no
808,g3,148,2nd,no
809,g3,156,2nd,no
811,g3,88,4th,no
812,g3,153,2nd,no
815,g3,185,1st,no
817,g3,157,1st,no
818,g3,123,3rd,no
821,g3,141,1st,no
824,g3,122,3rd,no
827,g3,91,4th,no
828,g3,122,3rd,no
831,g3,171,1st,no
834,g3,139,2nd,no
838,g3,113,3rd,no
1681,g3,4,2nd,no
1682,g3,7,1st,no
1684,g3,5,2nd,no
1685,g3,4,3rd,no
1686,g3,4,3rd,no
1688,g3,8,1st,no
1689,g3,5,2nd,no
1691,g3,8,1st,no
1692,g3,7,2nd,no
1695,g3,7,1st,no
1696,g3,7,1st,no
1698,g3,4,2nd,no
1699,g3,5,2nd,no
1701,g3,5,2nd,no
1702,g3,10,1st,no
1705,g3,9,1st,no
1707,g3,3,4th,no
1708,g3,8,1st,no
1711,g3,6,1st,no
1714,g3,5,2nd,no
1716,g3,6,2nd,no
1718,g3,11,1st,no
1719,g3,3,4th,no
1721,g3,4,3rd,no
1722,g3,3,4th,no
1725,g3,6,1st,no
1727,g3,7,1st,no
1728,g3,3,3rd,no
1731,g3,6,1st,no
1734,g3,5,2nd,no
1737,g3,3,4th,no
1738,g3,3,3rd,no
1741,g3,5,2nd,no
1744,g3,6,1st,no
1748,g3,5,2nd,no
1751,g3,4,3rd,no
1752,g3,3,4th,no
1754,g3,6,2nd,no
1755,g3,4,3rd,no
1756,g3,3,3rd,no
1758,g3,5,2nd,no
1759,g3,3,3rd,no
1761,g3,7,1st,no
1762,g3,4,2nd,no
1765,g3,6,2nd,no
1766,g3,4,3rd,no
1768,g3,5,2nd,no
1769,g3,4,2nd,no
1771,g3,4,2nd,no
1772,g3,4,3rd,no
1775,g3,3,3rd,no
1777,g3,4,4th,no
1778,g3,4,3rd,no
1781,g3,7,2nd,no
1784,g3,4,3rd,no
1786,g3,4,3rd,no
1788,g3,5,2nd,no
1789,g3,4,3rd,no
1791,g3,7,1st,no
1792,g3,4,2nd,no
1795,g3,6,1st,no
1797,g3,6,1st,no
1798,g3,6,1st,no
1801,g3,8,1st,no
1804,g3,3,4th,no
1807,g3,3,4th,no
1808,g3,5,2nd,no
1811,g3,4,3rd,no
1814,g3,3,4th,no
1818,g3,7,1st,no
1821,g3,36,2nd,no
1822,g3,29,1st,no
1824,g3,37,1st,no
1825,g3,34,2nd,no
1826,g3,42,1st,no
1828,g3,37,1st,no
1829,g3,39,2nd,no
1831,g3,50,1st,no
1832,g3,31,1st,no
1835,g3,36,1st,no
1836,g3,17,4th,no
1838,g3,36,1st,no
1839,g3,42,1st,no
1841,g3,17,4th,no
1842,g3,27,2nd,no
1845,g3,32,1st,no
1847,g3,39,1st,no
1848,g3,24,2nd,no
1851,g3,59,1st,no
1854,g3,30,2nd,no
1856,g3,25,2nd,no
1858,g3,46,1st,no
1859,g3,61,1st,no
1861,g3,30,1st,no
1862,g3,14,4th,no
1865,g3,37,1st,no
1867,g3,43,1st,no
1868,g3,29,1st,no
1871,g3,40,1st,no
1874,g3,39,1st,no
1877,g3,20,4th,no
1878,g3,28,2nd,no
1881,g3,36,2nd,no
1884,g3,41,1st,no
1888,g3,28,1st,no
1891,g3,16,4th,no
1892,g3,28,2nd,no
1894,g3,31,2nd,no
1895,g3,40,1st,no
1896,g3,25,2nd,no
1898,g3,25,3rd,no
1899,g3,26,3rd,no
1901,g3,38,1st,no
1902,g3,19,4th,no
1905,g3,29,2nd,no
1906,g3,38,1st,no
1908,g3,28,2nd,no
