game,name,score,place,timeout
977,g9,2,4th,no
978,g8,9,1st,no
978,g7,5,2nd,no
978,g3,3,3rd,no
978,g9,2,4th,no
979,g8,8,1st,no
979,g4,5,2nd,no
979,g7,5,2nd,no
979,g9,1,4th,no
980,g8,7,1st,no
980,g9,6,2nd,no
980,g7,4,3rd,no
980,g6,3,4th,no
981,g3,40,1st,no
981,g1,25,2nd,no
981,g2,21,3rd,no
981,g4,14,4th,no
982,g1,34,1st,no
982,g3,31,2nd,no
982,g2,24,3rd,no
982,g6,12,4th,no
983,g2,39,1st,no
983,g1,28,2nd,no
983,g6,28,2nd,no
983,g4,6,4th,no
984,g1,41,1st,no
984,g3,36,2nd,no
984,g6,19,3rd,no
984,g4,4,4th,no
985,g3,41,1st,no
985,g4,22,2nd,no
985,g6,21,3rd,no
985,g2,17,4th,no
986,g3,48,1st,no
986,g1,37,2nd,no
986,g2,16,3rd,no
986,g7,0,4th,no
987,g2,65,1st,no
987,g1,20,2nd,no
987,g4,16,3rd,no
987,g7,0,4th,no
988,g3,48,1st,no
988,g1,34,2nd,no
988,g4,19,3rd,no
988,g7,0,4th,no
989,g3,60,1st,no
989,g4,24,2nd,no
989,g2,17,3rd,no
989,g7,0,4th,no
990,g6,36,1st,no
990,g1,34,2nd,no
990,g2,31,3rd,no
990,g7,0,4th,no
991,g3,35,1st,no
991,g1,33,2nd,no
991,g6,24,3rd,no
991,g7,9,4th,no
992,g3,59,1st,no
992,g6,34,2nd,no
992,g2,5,3rd,no
992,g7,3,4th,no
993,g1,41,1st,no
993,g6,37,2nd,no
993,g4,23,3rd,no
993,g7,0,4th,no
994,g2,56,1st,no
994,g6,30,2nd,no
994,g4,15,3rd,no
994,g7,0,4th,no
995,g3,42,1st,no
995,g6,38,2nd,no
995,g4,18,3rd,no
995,g7,3,4th,no
996,g2,39,1st,no
996,g8,25,2nd,no
996,g3,21,3rd,no
996,g1,16,4th,no
997,g2,43,1st,no
997,g1,38,2nd,no
997,g8,19,3rd,no
997,g4,0,4th,no
998,g3,55,1st,no
998,g8,25,2nd,no
998,g1,16,3rd,no
998,g4,4,4th,no
999,g3,63,1st,no
999,g8,29,2nd,yes
999,g2,5,3rd,no
999,g4,3,4th,no
1000,g2,30,1st,no
1000,g6,29,2nd,no
1000,g8,28,3rd,no
1000,g1,13,4th,no
1001,g3,41,1st,no
1001,g8,38,2nd,no
1001,g6,21,3rd,no
1001,g1,1,4th,no
1002,g3,33,1st,no
1002,g6,24,2nd,no
1002,g8,23,3rd,no
1002,g2,21,4th,no
1003,g8,49,1st,no
1003,g1,18,2nd,no
1003,g6,18,2nd,no
1003,g4,16,4th,no
1004,g2,30,1st,no
1004,g6,26,2nd,no
1004,g4,24,3rd,no
1004,g8,21,4th,no
1005,g6,31,1st,no
1005,g8,28,2nd,no
1005,g3,24,3rd,no
1005,g4,18,4th,no
1006,g2,48,1st,no
1006,g8,41,2nd,no
1006,g1,10,3rd,no
1006,g7,1,4th,no
1007,g3,54,1st,no
1007,g8,30,2nd,no
1007,g1,12,3rd,no
1007,g7,5,4th,no
1008,g3,50,1st,no
1008,g8,28,2nd,no
1008,g2,18,3rd,no
1008,g7,5,4th,no
1009,g8,58,1st,no
1009,g7,23,2nd,no
1009,g4,18,3rd,no
1009,g1,1,4th,no
1010,g2,64,1st,no
1010,g4,21,2nd,no
1010,g8,16,3rd,no
1010,g7,0,4th,no
1011,g3,39,1st,no
1011,g8,36,2nd,no
1011,g4,26,3rd,no
1011,g7,0,4th,no
1012,g6,55,1st,no
1012,g8,32,2nd,no
1012,g1,10,3rd,no
1012,g7,4,4th,no
1013,g2,40,1st,no
1013,g6,33,2nd,no
1013,g8,28,3rd,no
1013,g7,0,4th,no
1014,g8,47,1st,no
1014,g6,24,2nd,no
1014,g3,17,3rd,no
1014,g7,13,4th,no
1015,g4,42,1st,no
1015,g7,26,2nd,no
1015,g8,17,3rd,no
1015,g6,16,4th,no
1016,g3,45,1st,no
1016,g2,19,2nd,no
1016,g9,19,2nd,no
1016,g1,18,4th,no
1017,g2,47,1st,no
1017,g9,32,2nd,no
1017,g1,16,3rd,no
1017,g4,6,4th,no
1018,g3,45,1st,no
1018,g9,33,2nd,no
1018,g1,21,3rd,no
1018,g4,1,4th,no
1019,g3,39,1st,no
1019,g9,37,2nd,no
1019,g2,23,3rd,no
1019,g4,2,4th,no
1020,g2,28,1st,no
1020,g9,28,1st,no
1020,g6,23,3rd,no
1020,g1,21,4th,no
1021,g3,58,1st,no
1021,g9,24,2nd,no
1021,g6,19,3rd,no
1021,g1,0,4th,no
1022,g9,31,1st,no
1022,g6,25,2nd,no
1022,g2,23,3rd,no
1022,g3,22,4th,no
1023,g6,36,1st,no
1023,g9,26,2nd,no
1023,g1,20,3rd,no
1023,g4,18,4th,no
1024,g2,39,1st,no
1024,g9,36,2nd,no
1024,g6,21,3rd,no
1024,g4,5,4th,no
1025,g6,29,1st,no
1025,g3,24,2nd,no
1025,g4,24,2nd,no
1025,g9,24,2nd,no
1026,g2,51,1st,no
1026,g1,25,2nd,no
1026,g9,24,3rd,no
1026,g7,0,4th,no
1027,g3,54,1st,no
1027,g9,26,2nd,no
1027,g1,21,3rd,no
1027,g7,0,4th,no
1028,g3,34,1st,no
1028,g9,30,2nd,no
1028,g2,23,3rd,no
1028,g7,13,4th,no
1029,g9,46,1st,no
1029,g4,36,2nd,no
1029,g1,17,3rd,no
1029,g7,1,4th,no
1030,g2,50,1st,no
1030,g4,22,2nd,no
1030,g9,21,3rd,no
1030,g7,7,4th,no
1031,g3,49,1st,no
1031,g9,30,2nd,no
1031,g4,21,3rd,no
1031,g7,1,4th,no
1032,g6,37,1st,no
1032,g9,34,2nd,no
1032,g1,30,3rd,no
1032,g7,0,4th,no
1033,g2,37,1st,no
1033,g9,29,2nd,no
1033,g6,24,3rd,no
1033,g7,11,4th,no
1034,g3,37,1st,no
1034,g6,24,2nd,no
1034,g9,23,3rd,no
1034,g7,17,4th,no
1035,g4,33,1st,no
